COU,Country,Status,Species,Animals
CHL,Chile,VULN,LICHEN,1
BEL,Belgium,CRIT,FISH,1
GBR,United Kingdom,VULN,FISH,1
LUX,Luxembourg,ENDG,FISH,1
CRI,Costa Rica,CRIT,MAMMAL,1
LVA,Latvia,ENDG,AMPHIBIAN,1
CHL,Chile,CRIT,FISH,1
ESP,Spain,CRIT,AMPHIBIAN,1
SVN,Slovenia,VULN,FISH,1
IRL,Ireland,CRIT,FISH,1
CHL,Chile,THREAT,FISH,1
DNK,Denmark,CRIT,MAMMAL,1
POL,Poland,CRIT,FISH,1
LTU,Lithuania,CRIT,FISH,1
LTU,Lithuania,THREAT,FISH,1
CHL,Chile,CRIT,MOSS,1
SVK,Slovak Republic,CRIT,REPTILE,1
POL,Poland,CRIT,REPTILE,1
POL,Poland,ENDG,REPTILE,1
LVA,Latvia,CRIT,REPTILE,1
NLD,Netherlands,CRIT,REPTILE,1
SWE,Sweden,ENDG,FISH,1
AUS,Australia,THREAT,MOSS,1
LTU,Lithuania,VULN,REPTILE,1
LUX,Luxembourg,ENDG,FISH,1
EST,Estonia,ENDG,REPTILE,1
DNK,Denmark,CRIT,AMPHIBIAN,1
DNK,Denmark,VULN,REPTILE,1
FIN,Finland,VULN,REPTILE,1
EST,Estonia,ENDG,FISH,1
EST,Estonia,ENDG,FISH,1
CZE,Czech Republic,CRIT,REPTILE,1
LTU,Lithuania,ENDG,AMPHIBIAN,1
LTU,Lithuania,ENDG,REPTILE,1
ITA,Italy,CRIT,REPTILE,1
DNK,Denmark,THREAT,REPTILE,1
GRC,Greece,CRIT,REPTILE,1
KOR,Korea,ENDG,REPTILE,1
DEU,Germany,VULN,REPTILE,1
FIN,Finland,THREAT,REPTILE,1
POL,Poland,VULN,MAMMAL,1
POL,Poland,VULN,REPTILE,1
LVA,Latvia,CRIT,AMPHIBIAN,1
IRL,Ireland,ENDG,AMPHIBIAN,1
EST,Estonia,VULN,FISH,1
FIN,Finland,THREAT,AMPHIBIAN,1
EST,Estonia,ENDG,MAMMAL,1
GRC,Greece,CRIT,AMPHIBIAN,1
IRL,Ireland,VULN,MAMMAL,1
IRL,Ireland,THREAT,MAMMAL,1
HUN,Hungary,VULN,AMPHIBIAN,1
CZE,Czech Republic,CRIT,AMPHIBIAN,1
EST,Estonia,VULN,REPTILE,1
LVA,Latvia,VULN,FISH,1
LVA,Latvia,VULN,FISH,1
LVA,Latvia,THREAT,FISH,1
LUX,Luxembourg,ENDG,AMPHIBIAN,1
LUX,Luxembourg,VULN,AMPHIBIAN,1
LVA,Latvia,THREAT,FISH,1
MEX,Mexico,ENDG,FISH,1
IRL,Ireland,THREAT,AMPHIBIAN,1
COL,Colombia,CRIT,FISH,1
AUT,Austria,CRIT,AMPHIBIAN,1
LVA,Latvia,CRIT,FISH,1
KOR,Korea,CRIT,MAMMAL,1
LVA,Latvia,CRIT,FISH,1
LVA,Latvia,ENDG,REPTILE,1
DNK,Denmark,VULN,AMPHIBIAN,1
MEX,Mexico,CRIT,INVERTEB,1
AUS,Australia,VULN,MOSS,1
HUN,Hungary,ENDG,AMPHIBIAN,1
NLD,Netherlands,CRIT,FISH,1
