COU,Country,Status,Species,Animals
ITA,Italy,ENDG,VASCULAR_PLANT,269
FIN,Finland,THREAT,LICHEN,268
NZL,New Zealand,THREAT,INVERTEB,266
COL,Colombia,ENDG,VASCULAR_PLANT,264
NOR,Norway,KNOW,BIRD,264
ESP,Spain,THREAT,MOSS,259
SWE,Sweden,KNOW,BIRD,257
CHE,Switzerland,THREAT,LICHEN,257
GRC,Greece,THREAT,VASCULAR_PLANT,255
SVN,Slovenia,VULN,VASCULAR_PLANT,254
NZL,New Zealand,KNOW,BIRD,254
BEL,Belgium,CRIT,VASCULAR_PLANT,253
CZE,Czech Republic,THREAT,MOSS,251
AUT,Austria,VULN,LICHEN,251
LTU,Lithuania,KNOW,LICHEN,250
DEU,Germany,VULN,MOSS,250
FIN,Finland,KNOW,BIRD,248
CZE,Czech Republic,VULN,LICHEN,247
NOR,Norway,THREAT,VASCULAR_PLANT,246
ESP,Spain,THREAT,INVERTEB,246
DNK,Denmark,KNOW,BIRD,241
MEX,Mexico,THREAT,BIRD,241
CRI,Costa Rica,KNOW,MAMMAL,241
ESP,Spain,CRIT,VASCULAR_PLANT,240
JPN,Japan,THREAT,MOSS,240
AUS,Australia,KNOW,AMPHIBIAN,239
HUN,Hungary,KNOW,BIRD,238
DNK,Denmark,KNOW,FISH,238
AUT,Austria,THREAT,MOSS,238
FRA,France,VULN,VASCULAR_PLANT,238
ITA,Italy,THREAT,MOSS,237
CZE,Czech Republic,KNOW,BIRD,237
BRA,Brazil,THREAT,BIRD,234
EST,Estonia,KNOW,BIRD,234
LVA,Latvia,KNOW,BIRD,233
ITA,Italy,VULN,INVERTEB,232
BEL,Belgium,VULN,INVERTEB,230
CHE,Switzerland,CRIT,INVERTEB,229
KOR,Korea,THREAT,VASCULAR_PLANT,224
CAN,Canada,KNOW,MAMMAL,221
DNK,Denmark,THREAT,LICHEN,221
MEX,Mexico,ENDG,VASCULAR_PLANT,220
FRA,France,THREAT,INVERTEB,219
NOR,Norway,THREAT,LICHEN,217
NZL,New Zealand,KNOW,FISH,214
GBR,United Kingdom,VULN,VASCULAR_PLANT,214
AUT,Austria,KNOW,BIRD,213
DEU,Germany,CRIT,VASCULAR_PLANT,212
CZE,Czech Republic,VULN,VASCULAR_PLANT,212
SVK,Slovak Republic,KNOW,BIRD,211
LVA,Latvia,THREAT,VASCULAR_PLANT,209
POL,Poland,VULN,VASCULAR_PLANT,208
CAN,Canada,CRIT,INVERTEB,205
CHE,Switzerland,KNOW,BIRD,205
EST,Estonia,THREAT,VASCULAR_PLANT,204
KOR,Korea,THREAT,INVERTEB,204
GBR,United Kingdom,VULN,INVERTEB,202
ESP,Spain,ENDG,VASCULAR_PLANT,202
KOR,Korea,KNOW,FISH,202
BEL,Belgium,ENDG,INVERTEB,201
SVK,Slovak Republic,VULN,VASCULAR_PLANT,201
POL,Poland,ENDG,LICHEN,201
SVK,Slovak Republic,CRIT,INVERTEB,199
CHL,Chile,ENDG,VASCULAR_PLANT,199
AUS,Australia,CRIT,VASCULAR_PLANT,198
BEL,Belgium,KNOW,BIRD,198
FIN,Finland,THREAT,VASCULAR_PLANT,197
DEU,Germany,KNOW,FISH,197
CHE,Switzerland,ENDG,VASCULAR_PLANT,197
ITA,Italy,CRIT,VASCULAR_PLANT,193
CRI,Costa Rica,KNOW,AMPHIBIAN,192
SVN,Slovenia,KNOW,FISH,188
GBR,United Kingdom,THREAT,LICHEN,187
CZE,Czech Republic,ENDG,LICHEN,186
JPN,Japan,THREAT,FISH,185
CHL,Chile,KNOW,MAMMAL,185
CAN,Canada,THREAT,LICHEN,184
FIN,Finland,THREAT,MOSS,183
EST,Estonia,THREAT,LICHEN,181
IRL,Ireland,THREAT,INVERTEB,179
FRA,France,VULN,INVERTEB,179
DNK,Denmark,ENDG,INVERTEB,179
POL,Poland,CRIT,LICHEN,179
MEX,Mexico,THREAT,FISH,175
ESP,Spain,KNOW,MAMMAL,174
GRC,Greece,VULN,VASCULAR_PLANT,174
CRI,Costa Rica,KNOW,REPTILE,173
HUN,Hungary,THREAT,MOSS,173
TUR,Turkey,KNOW,MAMMAL,173
AUT,Austria,CRIT,VASCULAR_PLANT,172
SVK,Slovak Republic,ENDG,VASCULAR_PLANT,171
MEX,Mexico,THREAT,REPTILE,170
ESP,Spain,VULN,INVERTEB,170
SVK,Slovak Republic,VULN,LICHEN,169
JPN,Japan,THREAT,FISH,169
DEU,Germany,ENDG,LICHEN,169
ITA,Italy,VULN,VASCULAR_PLANT,169
NLD,Netherlands,VULN,VASCULAR_PLANT,168
NLD,Netherlands,KNOW,BIRD,168
POL,Poland,VULN,LICHEN,165
CAN,Canada,KNOW,FISH,165
FRA,France,KNOW,FISH,163
DNK,Denmark,THREAT,VASCULAR_PLANT,162
NLD,Netherlands,THREAT,INVERTEB,162
HUN,Hungary,ENDG,VASCULAR_PLANT,162
ESP,Spain,VULN,MOSS,161
JPN,Japan,KNOW,MAMMAL,160
EST,Estonia,THREAT,MOSS,159
PRT,Portugal,KNOW,MAMMAL,158
NLD,Netherlands,THREAT,LICHEN,156
SVK,Slovak Republic,CRIT,VASCULAR_PLANT,155
GRC,Greece,KNOW,FISH,154
POL,Poland,ENDG,VASCULAR_PLANT,154
ITA,Italy,THREAT,LICHEN,153
CHL,Chile,VULN,VASCULAR_PLANT,153
MEX,Mexico,THREAT,FISH,152
POL,Poland,CRIT,INVERTEB,152
MEX,Mexico,THREAT,MAMMAL,150
LUX,Luxembourg,KNOW,INVERTEB,149
BRA,Brazil,VULN,FISH,148
TUR,Turkey,KNOW,REPTILE,147
NOR,Norway,THREAT,MOSS,142
MEX,Mexico,VULN,REPTILE,142
BEL,Belgium,KNOW,FISH,142
SWE,Sweden,KNOW,FISH,141
BEL,Belgium,THREAT,MOSS,140
CHL,Chile,KNOW,REPTILE,140
SVK,Slovak Republic,CRIT,LICHEN,140
JPN,Japan,ENDG,MOSS,138
JPN,Japan,CRIT,MOSS,137
KOR,Korea,VULN,INVERTEB,137
CRI,Costa Rica,THREAT,VASCULAR_PLANT,137
COL,Colombia,THREAT,BIRD,136
CZE,Czech Republic,CRIT,LICHEN,136
ITA,Italy,ENDG,INVERTEB,136
BRA,Brazil,CRIT,FISH,135
AUT,Austria,ENDG,LICHEN,135
AUS,Australia,THREAT,BIRD,135
AUT,Austria,VULN,MOSS,135
BEL,Belgium,CRIT,INVERTEB,135
CAN,Canada,VULN,MOSS,134
NZL,New Zealand,CRIT,INVERTEB,133
FRA,France,ENDG,VASCULAR_PLANT,132
LUX,Luxembourg,KNOW,BIRD,131
LTU,Lithuania,THREAT,VASCULAR_PLANT,130
GBR,United Kingdom,THREAT,BIRD,129
POL,Poland,CRIT,VASCULAR_PLANT,127
IRL,Ireland,THREAT,BIRD,127
MEX,Mexico,VULN,BIRD,127
BRA,Brazil,ENDG,FISH,126
ITA,Italy,KNOW,MAMMAL,126
POL,Poland,KNOW,FISH,126
KOR,Korea,KNOW,MAMMAL,125
FRA,France,KNOW,MAMMAL,125
FIN,Finland,VULN,LICHEN,124
LUX,Luxembourg,ENDG,VASCULAR_PLANT,124
COL,Colombia,ENDG,AMPHIBIAN,123
FIN,Finland,CRIT,INVERTEB,123
GBR,United Kingdom,THREAT,MOSS,123
NLD,Netherlands,THREAT,MOSS,122
LUX,Luxembourg,CRIT,VASCULAR_PLANT,121
BRA,Brazil,VULN,BIRD,120
CHL,Chile,THREAT,INVERTEB,119
EST,Estonia,THREAT,INVERTEB,119
GBR,United Kingdom,ENDG,INVERTEB,118
NLD,Netherlands,ENDG,VASCULAR_PLANT,117
CHE,Switzerland,VULN,LICHEN,116
EST,Estonia,VULN,MOSS,116
GRC,Greece,KNOW,MAMMAL,115
CZE,Czech Republic,THREAT,BIRD,115
HUN,Hungary,CRIT,VASCULAR_PLANT,115
SWE,Sweden,ENDG,VASCULAR_PLANT,114
DEU,Germany,ENDG,MOSS,114
IRL,Ireland,THREAT,MOSS,113
HUN,Hungary,THREAT,LICHEN,113
SWE,Sweden,VULN,VASCULAR_PLANT,113
SVK,Slovak Republic,VULN,MOSS,112
COL,Colombia,CRIT,VASCULAR_PLANT,112
BRA,Brazil,ENDG,FISH,112
POL,Poland,KNOW,MAMMAL,112
PRT,Portugal,THREAT,BIRD,111
CHE,Switzerland,CRIT,VASCULAR_PLANT,111
NOR,Norway,VULN,VASCULAR_PLANT,111
LVA,Latvia,ENDG,VASCULAR_PLANT,110
KOR,Korea,VULN,VASCULAR_PLANT,110
GBR,United Kingdom,ENDG,VASCULAR_PLANT,110
BRA,Brazil,THREAT,MAMMAL,110
LUX,Luxembourg,VULN,VASCULAR_PLANT,109
COL,Colombia,THREAT,FISH,109
GBR,United Kingdom,VULN,LICHEN,108
BEL,Belgium,ENDG,VASCULAR_PLANT,107
AUS,Australia,THREAT,MAMMAL,107
FRA,France,THREAT,BIRD,107
NZL,New Zealand,KNOW,REPTILE,107
DEU,Germany,KNOW,MAMMAL,107
GBR,United Kingdom,KNOW,MAMMAL,107
LTU,Lithuania,KNOW,FISH,105
HUN,Hungary,VULN,VASCULAR_PLANT,105
SVN,Slovenia,THREAT,BIRD,105
BRA,Brazil,ENDG,INVERTEB,104
DNK,Denmark,CRIT,INVERTEB,104
ESP,Spain,KNOW,REPTILE,104
SVK,Slovak Republic,ENDG,MOSS,104
EST,Estonia,KNOW,FISH,103
JPN,Japan,VULN,MOSS,103
DEU,Germany,KNOW,FISH,103
EST,Estonia,VULN,VASCULAR_PLANT,102
DNK,Denmark,ENDG,VASCULAR_PLANT,101
COL,Colombia,VULN,AMPHIBIAN,101
BRA,Brazil,CRIT,INVERTEB,101
AUT,Austria,KNOW,MAMMAL,101
IRL,Ireland,THREAT,VASCULAR_PLANT,101
BRA,Brazil,CRIT,FISH,101
JPN,Japan,KNOW,REPTILE,100
IRL,Ireland,VULN,INVERTEB,100
SWE,Sweden,KNOW,FISH,100
NOR,Norway,ENDG,VASCULAR_PLANT,100
BEL,Belgium,KNOW,FISH,99
NOR,Norway,VULN,LICHEN,99
CZE,Czech Republic,KNOW,FISH,99
CZE,Czech Republic,KNOW,FISH,99
BRA,Brazil,VULN,FISH,98
COL,Colombia,THREAT,INVERTEB,98
BRA,Brazil,THREAT,FISH,98
JPN,Japan,THREAT,BIRD,98
NLD,Netherlands,KNOW,FISH,97
ITA,Italy,KNOW,FISH,97
MEX,Mexico,ENDG,BIRD,96
CHE,Switzerland,ENDG,LICHEN,96
EST,Estonia,THREAT,BIRD,95
SVK,Slovak Republic,CRIT,MOSS,95
CZE,Czech Republic,KNOW,MAMMAL,95
DEU,Germany,KNOW,FISH,94
DEU,Germany,THREAT,BIRD,94
BRA,Brazil,VULN,INVERTEB,94
CZE,Czech Republic,VULN,MOSS,93
CHE,Switzerland,KNOW,MAMMAL,93
NOR,Norway,CRIT,INVERTEB,92
COL,Colombia,VULN,FISH,92
JPN,Japan,KNOW,AMPHIBIAN,91
MEX,Mexico,VULN,MAMMAL,91
HUN,Hungary,ENDG,MOSS,90
SVK,Slovak Republic,KNOW,MAMMAL,90
IRL,Ireland,VULN,BIRD,90
LTU,Lithuania,THREAT,INVERTEB,89
SVN,Slovenia,KNOW,MAMMAL,89
NOR,Norway,KNOW,MAMMAL,89
TUR,Turkey,THREAT,INVERTEB,89
FIN,Finland,ENDG,VASCULAR_PLANT,88
ITA,Italy,CRIT,INVERTEB,88
CAN,Canada,THREAT,FISH,88
CAN,Canada,THREAT,BIRD,88
CZE,Czech Republic,ENDG,MOSS,88
DNK,Denmark,VULN,LICHEN,87
FIN,Finland,THREAT,BIRD,87
LVA,Latvia,KNOW,FISH,87
HUN,Hungary,KNOW,MAMMAL,87
HUN,Hungary,KNOW,INVERTEB,87
CRI,Costa Rica,VULN,VASCULAR_PLANT,86
KOR,Korea,ENDG,VASCULAR_PLANT,86
CAN,Canada,ENDG,MOSS,85
SVN,Slovenia,KNOW,FISH,85
MEX,Mexico,ENDG,FISH,85
AUT,Austria,KNOW,FISH,84
DNK,Denmark,THREAT,BIRD,84
BEL,Belgium,KNOW,MAMMAL,84
AUT,Austria,KNOW,FISH,84
DNK,Denmark,CRIT,LICHEN,84
LVA,Latvia,VULN,VASCULAR_PLANT,83
POL,Poland,THREAT,MOSS,83
FRA,France,KNOW,FISH,83
GBR,United Kingdom,CRIT,INVERTEB,82
ESP,Spain,KNOW,FISH,82
HUN,Hungary,KNOW,FISH,81
HUN,Hungary,KNOW,FISH,81
FIN,Finland,ENDG,LICHEN,81
COL,Colombia,VULN,BIRD,80
FRA,France,KNOW,FISH,80
SVN,Slovenia,ENDG,VASCULAR_PLANT,80
BRA,Brazil,THREAT,REPTILE,80
JPN,Japan,ENDG,FISH,79
SVK,Slovak Republic,KNOW,FISH,79
LVA,Latvia,THREAT,INVERTEB,79
FIN,Finland,VULN,VASCULAR_PLANT,78
HUN,Hungary,THREAT,BIRD,78
POL,Poland,KNOW,FISH,77
FIN,Finland,VULN,MOSS,76
MEX,Mexico,VULN,FISH,76
FIN,Finland,KNOW,MAMMAL,75
CAN,Canada,CRIT,MOSS,75
COL,Colombia,CRIT,AMPHIBIAN,75
NZL,New Zealand,KNOW,FISH,75
ISL,Iceland,KNOW,BIRD,75
CHL,Chile,CRIT,VASCULAR_PLANT,74
MEX,Mexico,ENDG,FISH,74
EST,Estonia,ENDG,LICHEN,74
NOR,Norway,ENDG,LICHEN,73
CHL,Chile,KNOW,FISH,72
NZL,New Zealand,VULN,INVERTEB,71
NLD,Netherlands,CRIT,VASCULAR_PLANT,71
BRA,Brazil,ENDG,BIRD,71
DNK,Denmark,KNOW,MAMMAL,71
CHE,Switzerland,THREAT,BIRD,71
JPN,Japan,ENDG,FISH,71
CHE,Switzerland,KNOW,FISH,70
CHE,Switzerland,KNOW,FISH,70
FIN,Finland,ENDG,MOSS,70
CAN,Canada,CRIT,LICHEN,70
CZE,Czech Republic,CRIT,MOSS,70
FIN,Finland,KNOW,FISH,69
AUT,Austria,ENDG,MOSS,69
LTU,Lithuania,KNOW,MAMMAL,68
CRI,Costa Rica,THREAT,FISH,68
ITA,Italy,THREAT,BIRD,67
EST,Estonia,ENDG,VASCULAR_PLANT,67
ESP,Spain,THREAT,BIRD,66
EST,Estonia,KNOW,MAMMAL,66
EST,Estonia,KNOW,FISH,66
AUT,Austria,THREAT,BIRD,66
LTU,Lithuania,ENDG,VASCULAR_PLANT,66
GRC,Greece,KNOW,REPTILE,66
MEX,Mexico,VULN,FISH,65
NLD,Netherlands,VULN,LICHEN,65
NZL,New Zealand,KNOW,MAMMAL,65
JPN,Japan,THREAT,INVERTEB,65
AUS,Australia,THREAT,INVERTEB,65
SWE,Sweden,KNOW,MAMMAL,65
CHL,Chile,KNOW,AMPHIBIAN,65
PRT,Portugal,KNOW,FISH,65
EST,Estonia,CRIT,LICHEN,64
IRL,Ireland,VULN,MOSS,64
GRC,Greece,ENDG,VASCULAR_PLANT,64
HUN,Hungary,VULN,MOSS,63
FIN,Finland,CRIT,LICHEN,63
CHL,Chile,ENDG,INVERTEB,63
BEL,Belgium,VULN,VASCULAR_PLANT,63
CAN,Canada,VULN,LICHEN,63
GRC,Greece,THREAT,FISH,63
GBR,United Kingdom,VULN,MOSS,63
RUS,Russia,THREAT,VASCULAR_PLANT,63
AUS,Australia,VULN,BIRD,63
JPN,Japan,THREAT,LICHEN,63
LVA,Latvia,KNOW,MAMMAL,62
NZL,New Zealand,ENDG,INVERTEB,62
GRC,Greece,THREAT,BIRD,62
AUS,Australia,THREAT,REPTILE,61
PRT,Portugal,VULN,BIRD,61
CRI,Costa Rica,THREAT,AMPHIBIAN,61
CHE,Switzerland,CRIT,MOSS,61
LVA,Latvia,THREAT,MOSS,61
NOR,Norway,ENDG,MOSS,61
NLD,Netherlands,ENDG,INVERTEB,60
JPN,Japan,CRIT,FISH,60
NOR,Norway,VULN,MOSS,59
AUS,Australia,VULN,MAMMAL,59
MEX,Mexico,THREAT,AMPHIBIAN,58
FRA,France,VULN,BIRD,58
CHE,Switzerland,ENDG,MOSS,58
CRI,Costa Rica,VULN,FISH,58
NLD,Netherlands,KNOW,FISH,57
RUS,Russia,THREAT,BIRD,57
IRL,Ireland,KNOW,MAMMAL,57
AUT,Austria,CRIT,LICHEN,57
ITA,Italy,KNOW,REPTILE,56
IRL,Ireland,VULN,VASCULAR_PLANT,56
LTU,Lithuania,THREAT,BIRD,56
BRA,Brazil,VULN,MAMMAL,55
AUS,Australia,ENDG,BIRD,55
COL,Colombia,THREAT,MAMMAL,55
BEL,Belgium,THREAT,BIRD,55
DNK,Denmark,KNOW,FISH,55
CAN,Canada,VULN,FISH,54
LTU,Lithuania,KNOW,FISH,54
KOR,Korea,THREAT,BIRD,54
ESP,Spain,ENDG,INVERTEB,54
EST,Estonia,KNOW,FISH,54
JPN,Japan,CRIT,FISH,54
LTU,Lithuania,ENDG,INVERTEB,54
NLD,Netherlands,KNOW,MAMMAL,53
CHL,Chile,THREAT,REPTILE,52
SWE,Sweden,THREAT,BIRD,52
POL,Poland,ENDG,MOSS,52
ESP,Spain,ENDG,MOSS,52
CAN,Canada,THREAT,FISH,52
CAN,Canada,THREAT,MAMMAL,52
ISL,Iceland,THREAT,VASCULAR_PLANT,52
GBR,United Kingdom,VULN,BIRD,52
NLD,Netherlands,CRIT,MOSS,52
NLD,Netherlands,CRIT,INVERTEB,51
SVK,Slovak Republic,THREAT,BIRD,51
COL,Colombia,THREAT,FISH,51
LTU,Lithuania,KNOW,FISH,51
NLD,Netherlands,VULN,INVERTEB,51
MEX,Mexico,THREAT,INVERTEB,51
IRL,Ireland,ENDG,INVERTEB,51
FRA,France,CRIT,VASCULAR_PLANT,51
CAN,Canada,ENDG,LICHEN,51
DNK,Denmark,THREAT,MOSS,51
MEX,Mexico,ENDG,MAMMAL,50
NOR,Norway,KNOW,FISH,50
BRA,Brazil,VULN,FISH,50
DNK,Denmark,ENDG,LICHEN,50
AUS,Australia,THREAT,FISH,50
BRA,Brazil,ENDG,REPTILE,50
SVN,Slovenia,THREAT,FISH,50
GRC,Greece,THREAT,FISH,49
PRT,Portugal,KNOW,REPTILE,49
DEU,Germany,THREAT,FISH,49
NLD,Netherlands,CRIT,LICHEN,49
COL,Colombia,VULN,INVERTEB,48
CAN,Canada,VULN,BIRD,48
SVK,Slovak Republic,ENDG,LICHEN,48
LTU,Lithuania,THREAT,MOSS,48
JPN,Japan,THREAT,AMPHIBIAN,47
ITA,Italy,THREAT,FISH,47
CRI,Costa Rica,ENDG,VASCULAR_PLANT,47
CAN,Canada,KNOW,AMPHIBIAN,47
CHL,Chile,THREAT,BIRD,46
NOR,Norway,THREAT,BIRD,46
COL,Colombia,VULN,FISH,46
JPN,Japan,VULN,FISH,46
ESP,Spain,CRIT,MOSS,46
LVA,Latvia,KNOW,FISH,45
DEU,Germany,CRIT,MOSS,45
CZE,Czech Republic,VULN,BIRD,45
DNK,Denmark,VULN,BIRD,45
HUN,Hungary,VULN,LICHEN,45
CHE,Switzerland,CRIT,LICHEN,45
SVN,Slovenia,VULN,BIRD,45
GBR,United Kingdom,CRIT,LICHEN,45
NOR,Norway,CRIT,LICHEN,45
CAN,Canada,KNOW,REPTILE,45
HUN,Hungary,ENDG,LICHEN,44
COL,Colombia,THREAT,REPTILE,44
COL,Colombia,ENDG,INVERTEB,44
CHL,Chile,THREAT,AMPHIBIAN,44
ITA,Italy,KNOW,AMPHIBIAN,44
JPN,Japan,VULN,FISH,44
EST,Estonia,VULN,LICHEN,43
LUX,Luxembourg,KNOW,FISH,43
GBR,United Kingdom,ENDG,BIRD,43
BEL,Belgium,KNOW,FISH,43
SVN,Slovenia,ENDG,BIRD,43
EST,Estonia,ENDG,INVERTEB,43
BRA,Brazil,ENDG,MAMMAL,43
SWE,Sweden,CRIT,VASCULAR_PLANT,43
NLD,Netherlands,VULN,MOSS,43
LUX,Luxembourg,KNOW,FISH,43
KOR,Korea,ENDG,INVERTEB,43
JPN,Japan,VULN,BIRD,43
MEX,Mexico,VULN,AMPHIBIAN,43
JPN,Japan,VULN,INVERTEB,43
JPN,Japan,CRIT,LICHEN,43
LTU,Lithuania,THREAT,LICHEN,43
GBR,United Kingdom,CRIT,VASCULAR_PLANT,42
LVA,Latvia,KNOW,FISH,42
BRA,Brazil,CRIT,BIRD,42
SWE,Sweden,KNOW,FISH,42
ESP,Spain,THREAT,FISH,42
COL,Colombia,THREAT,MOSS,42
NLD,Netherlands,ENDG,LICHEN,42
LVA,Latvia,ENDG,MOSS,41
LTU,Lithuania,VULN,VASCULAR_PLANT,41
CHE,Switzerland,VULN,BIRD,41
NLD,Netherlands,THREAT,BIRD,41
JPN,Japan,ENDG,LICHEN,41
EST,Estonia,VULN,BIRD,41
RUS,Russia,THREAT,FISH,40
DEU,Germany,VULN,BIRD,40
NLD,Netherlands,KNOW,FISH,40
SVN,Slovenia,ENDG,FISH,40
COL,Colombia,ENDG,BIRD,40
SVN,Slovenia,THREAT,FISH,40
ESP,Spain,KNOW,AMPHIBIAN,39
TUR,Turkey,KNOW,AMPHIBIAN,39
AUT,Austria,THREAT,FISH,39
DEU,Germany,THREAT,MAMMAL,39
EST,Estonia,CRIT,INVERTEB,39
AUT,Austria,THREAT,FISH,39
LVA,Latvia,THREAT,BIRD,39
CHL,Chile,THREAT,FISH,38
LVA,Latvia,ENDG,INVERTEB,38
AUS,Australia,ENDG,MAMMAL,38
RUS,Russia,THREAT,INVERTEB,38
FIN,Finland,VULN,BIRD,38
BRA,Brazil,THREAT,AMPHIBIAN,38
FRA,France,KNOW,REPTILE,38
CAN,Canada,VULN,FISH,38
JPN,Japan,THREAT,REPTILE,37
GBR,United Kingdom,ENDG,MOSS,37
EST,Estonia,VULN,INVERTEB,37
AUS,Australia,THREAT,AMPHIBIAN,37
IRL,Ireland,ENDG,BIRD,37
FIN,Finland,CRIT,MOSS,37
CHL,Chile,THREAT,FISH,37
CHL,Chile,THREAT,MAMMAL,36
AUS,Australia,THREAT,FISH,36
CAN,Canada,THREAT,FISH,36
FIN,Finland,ENDG,BIRD,36
POL,Poland,KNOW,FISH,36
ITA,Italy,ENDG,BIRD,36
CZE,Czech Republic,ENDG,BIRD,35
HUN,Hungary,THREAT,FISH,35
NOR,Norway,CRIT,VASCULAR_PLANT,35
EST,Estonia,CRIT,VASCULAR_PLANT,35
ESP,Spain,VULN,BIRD,35
FRA,France,KNOW,AMPHIBIAN,35
SWE,Sweden,VULN,BIRD,35
CZE,Czech Republic,CRIT,BIRD,35
HUN,Hungary,VULN,BIRD,35
HUN,Hungary,THREAT,FISH,35
ESP,Spain,THREAT,FISH,35
LVA,Latvia,VULN,INVERTEB,34
GBR,United Kingdom,ENDG,LICHEN,34
RUS,Russia,THREAT,MAMMAL,34
AUT,Austria,CRIT,MOSS,34
SVN,Slovenia,THREAT,MAMMAL,34
BRA,Brazil,CRIT,FISH,34
JPN,Japan,THREAT,MAMMAL,34
CHE,Switzerland,THREAT,MAMMAL,34
POL,Poland,THREAT,BIRD,34
CHL,Chile,CRIT,INVERTEB,33
DNK,Denmark,CRIT,VASCULAR_PLANT,33
DNK,Denmark,VULN,MOSS,33
ISL,Iceland,THREAT,BIRD,33
FRA,France,ENDG,BIRD,33
KOR,Korea,KNOW,REPTILE,32
COL,Colombia,VULN,MOSS,32
COL,Colombia,VULN,MAMMAL,32
POL,Poland,VULN,MOSS,31
CRI,Costa Rica,THREAT,INVERTEB,31
AUS,Australia,VULN,REPTILE,31
SVN,Slovenia,ENDG,FISH,31
JPN,Japan,CRIT,BIRD,31
FIN,Finland,CRIT,VASCULAR_PLANT,31
PRT,Portugal,THREAT,MAMMAL,31
GRC,Greece,VULN,BIRD,31
EST,Estonia,ENDG,BIRD,31
CAN,Canada,VULN,MAMMAL,31
IRL,Ireland,ENDG,MOSS,30
PRT,Portugal,ENDG,BIRD,30
CRI,Costa Rica,THREAT,BIRD,30
DEU,Germany,CRIT,BIRD,30
AUS,Australia,CRIT,INVERTEB,30
BEL,Belgium,THREAT,FISH,29
KOR,Korea,VULN,BIRD,29
GRC,Greece,THREAT,MAMMAL,29
IRL,Ireland,KNOW,FISH,28
IRL,Ireland,CRIT,INVERTEB,28
DNK,Denmark,VULN,VASCULAR_PLANT,28
GRC,Greece,VULN,FISH,28
DEU,Germany,THREAT,FISH,28
AUT,Austria,VULN,BIRD,28
KOR,Korea,CRIT,VASCULAR_PLANT,28
MEX,Mexico,ENDG,REPTILE,28
GBR,United Kingdom,CRIT,BIRD,27
AUT,Austria,THREAT,MAMMAL,27
NLD,Netherlands,ENDG,MOSS,27
CAN,Canada,THREAT,REPTILE,26
CAN,Canada,CRIT,BIRD,26
FRA,France,THREAT,FISH,26
MEX,Mexico,VULN,INVERTEB,26
LTU,Lithuania,VULN,MOSS,26
LUX,Luxembourg,THREAT,BIRD,26
ESP,Spain,THREAT,MAMMAL,26
CHL,Chile,ENDG,BIRD,25
CHL,Chile,VULN,REPTILE,25
ITA,Italy,THREAT,FISH,25
CAN,Canada,ENDG,FISH,25
CZE,Czech Republic,THREAT,FISH,25
CZE,Czech Republic,THREAT,FISH,25
NOR,Norway,VULN,BIRD,25
POL,Poland,THREAT,FISH,25
IRL,Ireland,ENDG,VASCULAR_PLANT,25
HUN,Hungary,THREAT,INVERTEB,24
ESP,Spain,VULN,FISH,24
JPN,Japan,ENDG,BIRD,24
AUS,Australia,VULN,FISH,24
LVA,Latvia,THREAT,LICHEN,24
MEX,Mexico,ENDG,INVERTEB,24
SVN,Slovenia,KNOW,REPTILE,24
DNK,Denmark,CRIT,BIRD,24
CHE,Switzerland,THREAT,FISH,24
EST,Estonia,ENDG,MOSS,24
AUT,Austria,ENDG,BIRD,24
LTU,Lithuania,CRIT,LICHEN,24
DEU,Germany,ENDG,BIRD,24
SVK,Slovak Republic,ENDG,BIRD,24
CHE,Switzerland,THREAT,FISH,24
KOR,Korea,THREAT,FISH,24
HUN,Hungary,CRIT,LICHEN,24
KOR,Korea,CRIT,INVERTEB,24
KOR,Korea,THREAT,FISH,24
LUX,Luxembourg,THREAT,INVERTEB,23
GRC,Greece,KNOW,AMPHIBIAN,23
NLD,Netherlands,THREAT,FISH,23
LTU,Lithuania,CRIT,VASCULAR_PLANT,23
CHL,Chile,ENDG,FISH,23
CHL,Chile,ENDG,FISH,23
DEU,Germany,VULN,FISH,23
CRI,Costa Rica,CRIT,AMPHIBIAN,23
CHL,Chile,ENDG,AMPHIBIAN,23
GRC,Greece,VULN,FISH,23
CHL,Chile,VULN,INVERTEB,23
HUN,Hungary,CRIT,BIRD,23
JPN,Japan,VULN,REPTILE,23
GBR,United Kingdom,CRIT,MOSS,23
ITA,Italy,THREAT,MAMMAL,23
EST,Estonia,CRIT,BIRD,23
TUR,Turkey,THREAT,MAMMAL,23
JPN,Japan,CRIT,INVERTEB,22
DEU,Germany,VULN,MAMMAL,22
LTU,Lithuania,VULN,INVERTEB,22
JPN,Japan,VULN,AMPHIBIAN,22
NOR,Norway,CRIT,MOSS,22
FRA,France,ENDG,INVERTEB,22
DEU,Germany,KNOW,AMPHIBIAN,22
ITA,Italy,THREAT,FISH,22
ESP,Spain,CRIT,INVERTEB,22
JPN,Japan,ENDG,INVERTEB,22
AUS,Australia,ENDG,INVERTEB,22
BEL,Belgium,VULN,FISH,22
PRT,Portugal,THREAT,FISH,22
CRI,Costa Rica,ENDG,AMPHIBIAN,22
NLD,Netherlands,VULN,BIRD,21
DEU,Germany,THREAT,FISH,21
SVN,Slovenia,KNOW,AMPHIBIAN,21
ITA,Italy,CRIT,FISH,21
ITA,Italy,VULN,BIRD,21
KOR,Korea,KNOW,AMPHIBIAN,21
CHE,Switzerland,ENDG,BIRD,21
ESP,Spain,ENDG,BIRD,21
PRT,Portugal,CRIT,BIRD,20
